Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2024/3/17, 05:20:54, 66432.7, 66565.0, 66155.0, 66268.1, 75762968, 80000, 37418164, 38344808
2024/3/17, 05:28:48, 66268.1, 66768.6, 66050.0, 66394.7, 65055780, 80000, 31413212, 33642572
2024/3/17, 05:42:18, 66394.7, 66566.5, 66200.0, 66284.0, 27200404, 48721, 15416805, 11783600
2024/3/17, 06:00:00, 66283.9, 66283.9, 65840.0, 66059.7, 56963456, 80000, 32817772, 24145688
2024/3/17, 06:11:19, 66059.7, 66640.7, 66040.0, 66604.1, 53806472, 80000, 23650044, 30156440
2024/3/17, 06:33:45, 66604.1, 66851.2, 66277.9, 66408.8, 55071504, 80000, 28282044, 26789452
2024/3/17, 07:00:33, 66408.8, 66429.2, 65600.0, 65623.8, 62414680, 80000, 38488496, 23926192
2024/3/17, 07:12:42, 65623.8, 65645.3, 65168.0, 65189.9, 73515736, 80000, 44993140, 28522570
2024/3/17, 07:16:44, 65189.9, 65304.5, 64750.0, 65056.3, 89556304, 80000, 58218860, 31337460
2024/3/17, 07:19:20, 65056.3, 65888.0, 65020.0, 65790.1, 65795256, 80000, 30582988, 35212264
2024/3/17, 07:23:36, 65790.1, 65968.5, 65222.0, 65420.0, 60543408, 80000, 33133552, 27409860
2024/3/17, 07:32:11, 65420.0, 65784.4, 65344.9, 65415.7, 57181804, 80000, 29698772, 27482996
2024/3/17, 07:46:17, 65415.7, 65650.6, 65211.8, 65608.7, 71538360, 80000, 36095060, 35443292
2024/3/17, 08:01:04, 65608.7, 66140.1, 65570.6, 65855.0, 71033368, 80000, 35709628, 35323756
2024/3/17, 08:11:38, 65855.0, 66349.0, 65786.9, 66032.4, 56828408, 80000, 27821152, 29007270
2024/3/17, 08:31:00, 66032.4, 66037.7, 65630.9, 65687.8, 56467032, 80000, 32877000, 23590012
2024/3/17, 08:51:15, 65687.8, 65763.9, 65166.6, 65727.3, 58160736, 80000, 29095484, 29065244
2024/3/17, 09:03:13, 65727.3, 65907.7, 65492.9, 65778.0, 51824840, 80000, 26129952, 25694912
2024/3/17, 09:26:10, 65778.0, 66147.4, 65705.9, 65941.2, 51404608, 80000, 26071878, 25332732
2024/3/17, 09:51:24, 65941.2, 66332.5, 65851.0, 66174.9, 50296784, 80000, 23485452, 26811308
2024/3/17, 10:21:10, 66174.9, 66630.7, 66166.0, 66570.7, 58545968, 80000, 25547012, 32998952
2024/3/17, 10:53:34, 66570.7, 66573.4, 66233.8, 66477.0, 53628328, 80000, 28352708, 25275596
2024/3/17, 11:39:03, 66477.0, 66619.9, 66327.9, 66375.1, 46327680, 80000, 24728310, 21599354
2024/3/17, 12:38:53, 66375.1, 66583.3, 66073.5, 66073.6, 56061088, 80000, 35048924, 21012160
2024/3/17, 13:38:58, 66073.6, 66407.2, 65939.7, 65987.0, 60333544, 80000, 31633096, 28700432
2024/3/17, 14:14:21, 65987.0, 66178.4, 65636.7, 65692.0, 61736028, 80000, 34219988, 27516020
2024/3/17, 14:37:59, 65692.0, 65774.0, 65402.0, 65499.6, 57530632, 80000, 29836520, 27694134
2024/3/17, 14:54:19, 65499.6, 65568.0, 64901.4, 65128.2, 67826656, 80000, 40625656, 27201000
2024/3/17, 15:00:54, 65128.2, 65511.5, 64975.0, 65130.1, 62811956, 80000, 29674340, 33137600
2024/3/17, 15:10:34, 65130.1, 65287.8, 64831.1, 64872.6, 66816056, 80000, 34592640, 32223434
2024/3/17, 15:20:34, 64872.6, 65145.6, 64559.8, 65124.0, 72457120, 80000, 40528744, 31928356
2024/3/17, 15:25:15, 65124.0, 65550.0, 65073.8, 65175.3, 68391424, 80000, 32139960, 36251452
2024/3/17, 15:35:07, 65175.3, 65800.0, 65079.3, 65787.9, 76334904, 80000, 30426560, 45908320
2024/3/17, 15:50:34, 65787.9, 65846.4, 65458.1, 65575.3, 60163624, 80000, 33136688, 27026948
2024/3/17, 16:15:57, 65575.3, 66066.6, 65333.0, 66045.3, 54383260, 80000, 23751260, 30632028
2024/3/17, 16:34:17, 66045.3, 66455.7, 66028.4, 66204.2, 57191592, 80000, 24797980, 32393624
2024/3/17, 16:50:30, 66204.2, 66795.0, 66198.7, 66488.0, 64490524, 80000, 33789544, 30700968
2024/3/17, 17:01:40, 66488.0, 66877.0, 66430.0, 66775.4, 55283972, 80000, 24935492, 30348480
2024/3/17, 17:20:16, 66775.4, 66807.5, 66320.0, 66360.0, 56115020, 80000, 33626404, 22488616
2024/3/17, 17:48:07, 66360.0, 67000.0, 66359.9, 66901.9, 57013600, 80000, 23467496, 33546106
2024/3/17, 18:16:15, 66901.9, 67265.3, 66811.0, 67172.8, 67429808, 80000, 30692838, 36736968
2024/3/17, 18:30:04, 67172.8, 67475.4, 66941.0, 66990.0, 59898188, 80000, 33821832, 26076344
2024/3/17, 18:43:52, 66990.0, 67413.0, 66860.0, 67362.4, 54979432, 80000, 26944704, 28034740
2024/3/17, 19:10:02, 67362.4, 67600.0, 67016.5, 67017.9, 57988864, 80000, 29352896, 28635984
2024/3/17, 19:33:12, 67017.9, 67284.2, 66955.7, 67205.5, 59745044, 80000, 29777268, 29967764
2024/3/17, 20:06:40, 67205.5, 67474.8, 66877.0, 66879.5, 56322604, 80000, 28723498, 27599100
2024/3/17, 20:30:55, 66879.5, 66992.2, 66578.9, 66578.9, 52745296, 80000, 29047646, 23697668
2024/3/17, 20:53:29, 66578.9, 67309.3, 66500.0, 67174.7, 60812772, 80000, 25703280, 35109488
2024/3/17, 21:05:45, 67174.7, 67538.9, 67036.4, 67237.9, 59783480, 80000, 28574342, 31209136
2024/3/17, 21:21:40, 67237.9, 67288.0, 66905.9, 67097.3, 51280072, 80000, 27910946, 23369100
2024/3/17, 21:49:36, 67097.2, 67342.2, 66941.5, 67300.0, 53240392, 80000, 27462660, 25777718
2024/3/17, 22:24:25, 67300.0, 67450.0, 67201.5, 67441.2, 49218848, 80000, 26266392, 22952456
2024/3/17, 22:56:53, 67441.2, 67713.3, 67306.8, 67320.1, 56167144, 80000, 27397932, 28769228
2024/3/17, 23:21:59, 67320.1, 67940.0, 67273.1, 67919.9, 52819072, 80000, 23405384, 29413706
2024/3/17, 23:46:09, 67919.9, 68199.0, 67883.3, 68099.9, 65930352, 80000, 27824548, 38105784
2024/3/17, 23:57:20, 68099.9, 68200.0, 67812.2, 68017.2, 56278040, 80000, 29459128, 26818906
2024/3/18, 00:19:15, 68017.2, 68447.9, 67990.0, 68384.6, 53029720, 80000, 24051572, 28978160
2024/3/18, 00:41:49, 68384.6, 68392.6, 67890.0, 68123.9, 52195656, 80000, 29349574, 22846088
2024/3/18, 01:10:26, 68123.9, 68448.9, 67955.3, 68319.4, 47168640, 80000, 21749000, 25419648
2024/3/18, 01:44:47, 68319.4, 68757.1, 68230.0, 68482.1, 54957232, 80000, 24285384, 30671860
2024/3/18, 02:02:39, 68482.1, 68679.5, 68181.0, 68271.9, 53679080, 80000, 26954366, 26724724
2024/3/18, 02:36:30, 68271.9, 68418.2, 68111.8, 68292.3, 41063668, 80000, 21152752, 19910928
2024/3/18, 03:39:31, 68292.3, 68722.7, 68276.2, 68533.9, 43331272, 80000, 21294370, 22036884
2024/3/18, 04:29:03, 68533.9, 68541.7, 68223.1, 68306.5, 42187016, 80000, 22304826, 19882200
2024/3/18, 05:33:15, 68306.5, 68317.1, 68001.6, 68201.2, 23873744, 34662, 13894690, 9979054
2024/3/18, 06:00:00, 68201.1, 68839.0, 68201.1, 68814.9, 52028792, 80000, 22570068, 29458736
2024/3/18, 06:35:57, 68814.9, 68972.4, 68418.2, 68439.8, 51765704, 80000, 25452464, 26313248
2024/3/18, 06:54:41, 68439.8, 68489.2, 68176.3, 68182.1, 45981768, 80000, 22907118, 23074658
2024/3/18, 07:24:04, 68182.1, 68742.0, 68118.7, 68474.0, 52665620, 80000, 23670716, 28994914
2024/3/18, 08:00:46, 68474.0, 68486.6, 67783.5, 68103.8, 62128612, 80000, 37118572, 25010040
2024/3/18, 08:18:02, 68103.8, 68232.0, 67563.4, 67630.9, 57756292, 80000, 33945232, 23811088
2024/3/18, 08:37:55, 67630.9, 67677.2, 67335.0, 67533.2, 50970660, 80000, 25077900, 25892788
2024/3/18, 08:49:48, 67533.2, 67546.1, 66814.6, 66964.7, 52123408, 80000, 33307728, 18815684
2024/3/18, 09:03:18, 66964.7, 67525.2, 66851.4, 67499.1, 53019136, 80000, 19554856, 33464286
2024/3/18, 09:13:29, 67499.1, 67729.7, 67289.3, 67379.0, 48501332, 80000, 25178072, 23323246
2024/3/18, 09:31:07, 67379.0, 67841.8, 67360.0, 67620.0, 40003624, 80000, 16496760, 23506868
2024/3/18, 10:04:06, 67620.0, 67833.0, 67435.6, 67713.3, 48940088, 80000, 24164724, 24775376
2024/3/18, 10:45:35, 67713.3, 68283.0, 67635.0, 67812.6, 58807376, 80000, 26667936, 32139464
2024/3/18, 10:58:36, 67812.6, 68200.0, 67792.6, 67950.9, 39912460, 80000, 20561412, 19351048
2024/3/18, 11:33:27, 67950.9, 68222.0, 67761.9, 67773.6, 44001340, 80000, 25342748, 18658592
2024/3/18, 12:13:47, 67773.6, 68496.4, 67760.1, 68461.3, 47548264, 80000, 18157146, 29391110
2024/3/18, 12:41:05, 68461.3, 68640.0, 68274.8, 68465.2, 43023724, 80000, 20460292, 22563446
2024/3/18, 13:10:45, 68465.2, 68900.9, 68318.9, 68860.3, 51150508, 80000, 22177926, 28972592
2024/3/18, 13:29:49, 68860.3, 69044.4, 68654.3, 68666.4, 55422040, 80000, 30481104, 24940938
2024/3/18, 13:47:19, 68666.4, 68877.0, 68501.5, 68524.0, 46609636, 80000, 25632568, 20977072
2024/3/18, 14:30:10, 68524.0, 68750.0, 68320.3, 68415.4, 45109580, 80000, 23448328, 21661240
2024/3/18, 15:12:40, 68415.4, 68534.2, 68160.0, 68227.6, 48604992, 80000, 26233956, 22371046
2024/3/18, 15:41:11, 68227.6, 68374.4, 67958.0, 68096.6, 45774032, 80000, 24583136, 21190908
2024/3/18, 16:16:22, 68096.6, 68099.9, 67350.6, 67358.8, 55689816, 80000, 32706156, 22983644
2024/3/18, 16:27:25, 67358.8, 67930.0, 67350.6, 67840.0, 53961664, 80000, 23800756, 30160914
2024/3/18, 16:40:19, 67840.0, 68175.0, 67715.5, 67973.7, 49195872, 80000, 20295168, 28900706
2024/3/18, 17:02:54, 67973.7, 68249.6, 67682.8, 68131.2, 47864740, 80000, 23351314, 24513440
2024/3/18, 17:24:28, 68131.2, 68294.2, 67959.0, 68031.7, 44783780, 80000, 24179544, 20604262
